TRADE MARK	FASTENER	BUILT-IN MIC	RESOLUTION
Defender	pin	Yes	FullHD
A4Tech	desktop	No	VGA(640*480)
A4Tech	universal	No	FullHD
A4Tech	desktop	Yes	4K
HP	universal	Yes	VGA(640*480)
Defender	pin	No	4K
REAL-RE	universal	Yes	4K
REAL-RE	pin	No	HD(1280*720)
REAL-RE	desktop	No	VGA(640*480)
A4Tech	desktop	Yes	HD(1280*720)
MAXXTER	desktop	No	FullHD
MAXXTER	pin	Yes	VGA(640*480)
Avonic	universal	Yes	VGA(640*480)
Avonic	pin	No	FullHD
Avonic	desktop	No	4K
MAXXTER	universal	Yes	4K
HP	pin	No	4K
REAL-RE	universal	Yes	FullHD
HP	desktop	Yes	FullHD
MAXXTER	universal	No	HD(1280*720)
Defender	universal	Yes	VGA(640*480)
Avonic	desktop	Yes	HD(1280*720)
Defender	desktop	Yes	HD(1280*720)
A4Tech	pin	No	VGA(640*480)
HP	universal	Yes	HD(1280*720)
